71,53,f,5
155,53,f,22
263,50,m,20
316,50,m,20
107,53,f,5
293,50,m,25
225,53,f,3
204,50,m,5
78,53,f,2
72,53,f,2
349,50,m,8
184,50,m,5
259,50,m,20
93,53,f,8
310,53,f,2
115,50,m,25
62,50,m,39
31,50,m,25
193,53,f,8
205,50,m,20
352,53,f,2
335,53,f,3
293,53,f,8
288,50,m,8
293,53,f,2
11,50,m,3
225,53,f,3
174,50,m,39
348,53,f,3
320,53,f,2
150,53,f,5
53,53,f,2
123,50,m,3
245,50,m,5
142,50,m,2
71,53,f,18
116,53,f,18
246,53,f,18
199,50,m,3
77,50,m,5
84,50,m,25
192,50,m,5
101,53,f,22
182,53,f,18
73,50,m,20
203,53,f,5
98,53,f,3
46,50,m,5
293,50,m,2
160,50,m,5
274,50,m,25
193,50,m,2
43,50,m,8
329,50,m,39
5,50,m,25
115,50,m,39
127,53,f,34
109,50,m,39
120,53,f,34
260,53,f,34
340,53,f,8
261,50,m,39
43,53,f,2
29,50,m,3
91,53,f,22
118,53,f,34
133,50,m,20
96,53,f,3
197,53,f,2
188,50,m,39
266,50,m,8
235,50,m,8
345,50,m,3
355,53,f,8
103,50,m,3
246,50,m,25
138,53,f,3
261,53,f,5
150,50,m,2
184,50,m,3
290,53,f,22
253,53,f,34
310,50,m,2
84,53,f,2
28,53,f,18
329,50,m,39
83,50,m,2
346,53,f,34
297,50,m,25
51,53,f,34
348,50,m,8
316,53,f,5
82,53,f,8
320,50,m,5
349,50,m,39
121,50,m,20
110,50,m,8
72,53,f,5
253,50,m,8
